exporter_id,overlap_pct,correlation,pool_size
EXP_4660,90.0,0.13636363636363638,11
EXP_2756,80.0,0.08771929824561404,12
EXP_4202,70.0,-0.33888888888888885,13
EXP_9322,50.0,-0.07037037037037037,15
EXP_4011,50.0,-0.4518518518518519,15
EXP_8860,70.0,0.21111111111111108,13
EXP_3961,80.0,0.23508771929824562,12
EXP_3114,80.0,-0.07017543859649124,12
EXP_6992,90.0,0.14545454545454548,11
EXP_5714,40.0,0.07286821705426356,16
EXP_7717,50.0,0.29629629629629634,15
EXP_3493,60.0,0.22471910112359547,14
EXP_4517,40.0,-0.43410852713178294,16
EXP_7571,50.0,0.014814814814814815,15
EXP_5887,60.0,-0.3370786516853932,14
EXP_8967,60.0,0.30561797752808983,14
EXP_3471,80.0,0.32280701754385965,12
EXP_3315,70.0,-0.04444444444444443,13
EXP_7964,90.0,-0.07272727272727274,11
EXP_3417,50.0,-0.03703703703703704,15
